episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -1.168121134629473, 2, 13.193381670862436, 104, 15040, 15040, 0.07874098420143127, 2.480292797088623
2, -0.8088605040939001, 4, 40.084603764582425, 323, 15363, 15363, 0.07029006630182266, 2.53009033203125
3, -3.8379748524166644, 4, 40.187576587777585, 325, 15688, 15688, 0.06974254548549652, 2.5928049087524414
4, -1.8402628739131615, 4, 40.06004146998748, 323, 16011, 16011, 0.06551819294691086, 2.6242196559906006
5, -1.352963329583872, 4, 40.06297997618094, 323, 16334, 16334, 0.06186363473534584, 2.6383156776428223
6, -3.275987994275056, 2, 7.7959971516393125, 59, 16393, 16393, 0.06082222983241081, 2.6400182247161865
7, 0.4743603615097527, 4, 40.15874038217589, 324, 16717, 16717, 0.06321541965007782, 2.6486639976501465
8, -4.147675337037072, 2, 4.833661227952689, 35, 16752, 16752, 0.06138714402914047, 2.6651525497436523
9, 0.28368681443680543, 4, 40.13419546931982, 323, 17075, 17075, 0.06025858595967293, 2.6828200817108154
10, -3.601104785106145, 2, 6.17560455808416, 46, 17121, 17121, 0.06117001175880432, 2.7175402641296387
11, -1.2369972949381918, 4, 40.06558213708922, 323, 17444, 17444, 0.057150330394506454, 2.709638833999634
12, -1.1493320419103839, 4, 40.06209955783561, 323, 17767, 17767, 0.05126585811376572, 2.7337806224823
13, -0.6136285873362795, 4, 40.085686299949884, 323, 18090, 18090, 0.05156341567635536, 2.767693281173706
14, -3.562235831748694, 2, 7.811596265994012, 59, 18149, 18149, 0.05325840413570404, 2.780514717102051
15, -0.2234458385501057, 4, 40.107603416312486, 323, 18472, 18472, 0.04859287664294243, 2.807771682739258
16, -0.36789407856122125, 4, 40.43110599089414, 326, 18798, 18798, 0.046240728348493576, 2.8082633018493652
17, -2.879762808326632, 4, 40.136946028098464, 323, 19121, 19121, 0.043613698333501816, 2.81539249420166
18, -2.9686197593982797, 2, 21.203368710819632, 169, 19290, 19290, 0.04424595087766647, 2.823451042175293
19, -1.2434596539242193, 4, 40.05702671734616, 323, 19613, 19613, 0.04213106259703636, 2.830146074295044
20, 1.009194217978802, 4, 40.15392644703388, 323, 19936, 19936, 0.03887614235281944, 2.842759370803833
21, -0.2921214804518968, 4, 40.104475676547736, 323, 20259, 20259, 0.03796589374542236, 2.860308885574341
22, -5.434760648757219, 2, 27.56997986184433, 221, 20480, 20480, 0.03730815649032593, 2.876893997192383
23, -1.9477689632913098, 2, 14.53788948385045, 114, 20594, 20594, 0.03784427046775818, 2.8830108642578125
24, -0.8172636090312153, 4, 40.093259513843805, 323, 20917, 20917, 0.037045057862997055, 2.905020236968994
25, 0.2559718734064518, 4, 40.133646958041936, 323, 21240, 21240, 0.03313448280096054, 2.9177021980285645
26, 1.0515703986784501, 4, 40.08469951804727, 322, 21562, 21562, 0.03330124542117119, 2.9374849796295166
27, -2.451692995382473, 2, 8.79449666198343, 67, 21629, 21629, 0.03206370398402214, 2.92793869972229
28, -0.20145459903869778, 4, 40.13292921613902, 323, 21952, 21952, 0.03209201619029045, 2.9491186141967773
29, -2.9741618221160024, 2, 7.545998084358871, 57, 22009, 22009, 0.03412951901555061, 2.947704315185547
30, 0.30503080238122493, 4, 40.079912662971765, 322, 22331, 22331, 0.03157313913106918, 2.9512839317321777
31, -3.2571239825338125, 2, 9.972961858846247, 77, 22408, 22408, 0.03156315162777901, 2.94411039352417
32, -4.347735938965343, 2, 4.489821813069284, 32, 22440, 22440, 0.03360655531287193, 2.955444812774658
33, -1.489295986451907, 4, 40.18382129492238, 323, 22763, 22763, 0.03076346404850483, 2.953068971633911
