episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -0.4832224281562958, 2, 11.100002490915358, 86, 15035, 15035, 0.33087050914764404, 3.3050320148468018
2, -16.829105883836746, 4, 44.31959072686732, 356, 15391, 15391, 0.34001004695892334, 3.6173853874206543
3, -17.40232441201806, 4, 44.307524166069925, 355, 15746, 15746, 0.3444211184978485, 3.9621963500976562
4, -15.742135433480144, 4, 44.087112048175186, 353, 16099, 16099, 0.3125758469104767, 4.365212917327881
5, -16.616283601149917, 4, 44.08818444702774, 354, 16453, 16453, 0.272388756275177, 4.664966106414795
6, -16.414254900068045, 4, 44.123057349119335, 354, 16807, 16807, 0.2353859841823578, 4.727240562438965
7, -16.757936192676425, 4, 44.08885717578232, 354, 17161, 17161, 0.19972649216651917, 4.835365295410156
8, -15.85459128767252, 4, 44.22240129020065, 355, 17516, 17516, 0.17426739633083344, 4.854676723480225
9, -16.778188813477755, 4, 44.174897882156074, 354, 17870, 17870, 0.15748852491378784, 4.918338298797607
10, -16.98950439505279, 4, 44.08381819399074, 354, 18224, 18224, 0.13158242404460907, 4.974859237670898
11, -16.340315744280815, 4, 44.096666065976024, 354, 18578, 18578, 0.119350865483284, 4.973878383636475
12, -16.306218521669507, 4, 44.168757684063166, 355, 18933, 18933, 0.1128261387348175, 4.957048416137695
13, -16.631229676306248, 4, 44.144757769070566, 354, 19287, 19287, 0.10139863193035126, 5.014084815979004
14, -16.258565271273255, 4, 44.187193284742534, 355, 19642, 19642, 0.09674432128667831, 4.998191833496094
15, -16.319091638550162, 4, 44.086427059955895, 354, 19996, 19996, 0.09147968143224716, 4.993353843688965
16, -17.29725271090865, 4, 44.17503983620554, 354, 20350, 20350, 0.08483560383319855, 5.002172946929932
17, -17.11578800342977, 4, 44.48285399982706, 357, 20707, 20707, 0.08171498030424118, 4.998116493225098
18, -16.363734172657132, 4, 44.43502597697079, 354, 21061, 21061, 0.08413893729448318, 5.004775047302246
19, -16.563779992982745, 4, 44.19564645597711, 355, 21416, 21416, 0.07621064782142639, 5.058145999908447
20, -16.380706576630473, 4, 44.11770027782768, 354, 21770, 21770, 0.07578636705875397, 5.029071807861328
21, -17.115371707826853, 4, 44.179929255042225, 354, 22124, 22124, 0.0740692988038063, 5.050384044647217
22, -16.027428951114416, 4, 44.10409264313057, 354, 22478, 22478, 0.07057863473892212, 5.0683698654174805
23, -16.82108581252396, 4, 44.11655120737851, 354, 22832, 22832, 0.07051081210374832, 5.0469794273376465
24, -16.531530119478703, 4, 44.12213735608384, 354, 23186, 23186, 0.06520044803619385, 5.056832790374756
25, -16.412094425410032, 4, 44.19084600312635, 354, 23540, 23540, 0.0678454115986824, 5.053700923919678
26, -16.353611141443253, 4, 44.187758998945355, 355, 23895, 23895, 0.06405601650476456, 5.04755973815918
27, -16.989237079396844, 4, 44.12906920257956, 354, 24249, 24249, 0.062430914491415024, 5.051471710205078
28, -16.14847062714398, 4, 44.40958169475198, 356, 24605, 24605, 0.05955212935805321, 5.044641971588135
29, -16.60640046186745, 4, 44.16462629614398, 354, 24959, 24959, 0.06005987524986267, 5.046778202056885
30, -16.667646454647183, 4, 44.49153801612556, 357, 25316, 25316, 0.06022259220480919, 5.066871643066406
31, -16.279352078214288, 4, 44.15886675287038, 355, 25671, 25671, 0.0599735863506794, 5.056273460388184
32, -16.461796820163727, 4, 44.10991444718093, 354, 26025, 26025, 0.05709150433540344, 5.076507568359375
33, -16.68095864728093, 4, 44.12966659385711, 354, 26379, 26379, 0.05564642697572708, 5.080206871032715
34, -16.60024701617658, 4, 44.45574515219778, 355, 26734, 26734, 0.05530000105500221, 5.089376926422119
35, -16.637031313031912, 4, 44.101004428230226, 354, 27088, 27088, 0.05527965724468231, 5.097067356109619
36, -16.415419928729534, 4, 44.15622773999348, 354, 27442, 27442, 0.05191381648182869, 5.07774019241333
37, -16.707509899511933, 4, 44.1209479928948, 354, 27796, 27796, 0.051601141691207886, 5.076760292053223
38, -16.352886280044913, 4, 44.09538371069357, 354, 28150, 28150, 0.0500355027616024, 5.054409980773926
39, -16.790093515068293, 4, 44.133088779170066, 354, 28504, 28504, 0.05108386278152466, 5.049500942230225
40, -16.675768341869116, 4, 44.11602874100208, 352, 28856, 28856, 0.05057636275887489, 5.049560546875
41, -16.80147867091, 4, 44.17685947101563, 354, 29210, 29210, 0.049363307654857635, 5.047277927398682
42, -16.31634067185223, 4, 44.1701529067941, 354, 29564, 29564, 0.04699399322271347, 5.041214466094971
43, -16.941611180081964, 4, 44.411357874050736, 354, 29918, 29918, 0.04476739093661308, 5.045262336730957
44, -16.697651229798794, 4, 44.19839696818963, 355, 30273, 30273, 0.04598940536379814, 5.032848834991455
45, -16.331193568184972, 4, 44.21064904797822, 354, 30627, 30627, 0.04476691782474518, 5.038938999176025
46, -16.899699246510863, 4, 44.08335049683228, 353, 30980, 30980, 0.04692744463682175, 5.0416178703308105
47, -16.926287673413754, 4, 44.12134006479755, 354, 31334, 31334, 0.041971124708652496, 5.038762092590332
48, -16.71084980107844, 4, 44.12611284526065, 353, 31687, 31687, 0.04485448822379112, 5.031859874725342
49, -15.345171069726348, 4, 44.12769476417452, 353, 32040, 32040, 0.04247016832232475, 5.035150527954102
50, -16.728964809328318, 4, 44.17589713819325, 354, 32394, 32394, 0.04344617575407028, 5.029971599578857
51, -16.492250438779593, 4, 44.07081702211872, 353, 32747, 32747, 0.041638653725385666, 5.031632900238037
52, -15.47628254443407, 4, 44.22203018842265, 349, 33096, 33096, 0.041911110281944275, 5.024491786956787
53, -17.044194681569934, 4, 44.10017695976421, 354, 33450, 33450, 0.041080884635448456, 5.028329849243164
54, -16.233639692887664, 4, 44.19194787601009, 354, 33804, 33804, 0.044363755732774734, 5.0235161781311035
55, -16.70370388031006, 4, 44.12695011077449, 354, 34158, 34158, 0.04200601577758789, 5.018585205078125
56, -16.51104665733874, 4, 44.15859545394778, 354, 34512, 34512, 0.03741234913468361, 5.019174575805664
57, -16.23799598403275, 4, 44.07725105807185, 353, 34865, 34865, 0.04053913429379463, 5.026336193084717
58, -16.151715798303485, 4, 44.128071947954595, 353, 35218, 35218, 0.036431994289159775, 5.002211570739746
59, -17.147828359156847, 4, 44.09294086927548, 353, 35571, 35571, 0.0406230203807354, 4.9940972328186035
60, -16.36159603856504, 4, 44.57358870189637, 355, 35926, 35926, 0.038488008081912994, 5.000437259674072
61, -16.859206285327673, 4, 44.50567192211747, 355, 36281, 36281, 0.03765326365828514, 4.996242523193359
62, -16.539122324436903, 4, 44.175252937711775, 351, 36632, 36632, 0.03818792849779129, 4.986673831939697
63, -15.949558673426509, 4, 44.14172051800415, 353, 36985, 36985, 0.03339692950248718, 4.984673023223877
64, -16.862173629924655, 4, 44.18834426114336, 354, 37339, 37339, 0.0368603952229023, 4.979867935180664
