episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -7.1987474411726, 2, 46.163136596000186, 422, 15294, 15294, 0.0006188488332554698, 1.0239522457122803
2, -10.55168498121202, 4, 50.10917976000019, 456, 15750, 15750, 0.0007381398463621736, 0.9752475023269653
3, -11.528538377955556, 4, 50.16123103300015, 457, 16207, 16207, 0.0007063919911161065, 0.976371169090271
4, -10.458264324814081, 4, 50.08364584499941, 456, 16663, 16663, 0.0006811766652390361, 0.9915189743041992
5, -10.364843873307109, 4, 50.193342799000675, 457, 17120, 17120, 0.0006005616160109639, 1.0034935474395752
6, -10.4154206328094, 4, 50.12856527799977, 453, 17573, 17573, 0.0007337515125982463, 1.0133497714996338
7, -10.410879591479897, 4, 50.13259694599947, 453, 18026, 18026, 0.0007509806309826672, 1.0198920965194702
8, -10.512564836069942, 4, 50.16471814099987, 453, 18479, 18479, 0.0006690904265269637, 1.030051827430725
9, -10.370085725560784, 4, 50.227475155999855, 453, 18932, 18932, 0.0006318168598227203, 1.0406417846679688
10, -10.451225902885199, 4, 50.20022526499997, 453, 19385, 19385, 0.0005940319388173521, 1.0511850118637085
