episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -158.47976126964204, 2, 12.13018673499937, 93, 15035, 15035, 6.667469501495361, 15.77769660949707
2, -153.1786024607718, 2, 5.8730420480005705, 42, 15077, 15077, 7.104514122009277, 16.667720794677734
3, -162.2240331734065, 2, 17.819534320000457, 137, 15214, 15214, 6.785398483276367, 15.900493621826172
4, -155.21816112147644, 2, 10.641562409999096, 80, 15294, 15294, 6.400869846343994, 16.127967834472656
5, -155.3067678605894, 2, 9.235881724000137, 69, 15363, 15363, 6.882967948913574, 15.914255142211914
6, -154.28456617330085, 2, 22.120830437999757, 171, 15534, 15534, 6.808598041534424, 16.97142791748047
7, -160.9219852881506, 2, 23.557498576999933, 182, 15716, 15716, 6.828880786895752, 16.14712142944336
8, -152.45372775220312, 2, 11.770710331000373, 89, 15805, 15805, 7.2220635414123535, 17.007949829101562
9, -168.98350934963673, 2, 15.844115060999684, 121, 15926, 15926, 6.960682392120361, 17.0200138092041
10, -155.9379033097066, 2, 17.203488856999684, 132, 16058, 16058, 6.906760215759277, 17.23580551147461
11, -153.50670130900107, 2, 10.187065815000096, 76, 16134, 16134, 7.0674848556518555, 17.263917922973633
12, -156.525850758655, 2, 14.734034643999621, 113, 16247, 16247, 6.943923473358154, 16.999605178833008
13, -153.14623296403443, 2, 12.916383243999007, 98, 16345, 16345, 6.952905178070068, 17.69990348815918
14, -169.39500524278264, 2, 25.526499782999963, 198, 16543, 16543, 6.963183403015137, 17.74334716796875
15, -64.23580697947182, 4, 49.78188855899862, 389, 16932, 16932, 7.175164222717285, 17.76036262512207
16, -170.58690690475484, 2, 33.964922027000284, 265, 17197, 17197, 6.929440975189209, 18.858854293823242
17, -153.4677503113562, 2, 15.987659547001385, 122, 17319, 17319, 7.356128692626953, 18.858489990234375
18, -155.5248512191465, 2, 11.179477817000588, 84, 17403, 17403, 6.867300033569336, 18.697309494018555
19, -156.41697872569785, 2, 8.179403903999628, 60, 17463, 17463, 6.874146938323975, 18.22002410888672
20, -160.62754561874317, 2, 24.489900145999854, 187, 17650, 17650, 7.164488792419434, 18.445476531982422
21, -154.7365806333546, 2, 10.370291774999714, 78, 17728, 17728, 6.544975280761719, 18.759151458740234
22, -159.1442698265746, 2, 26.686522125999545, 208, 17936, 17936, 7.185954570770264, 18.25999641418457
23, -44.46210918673023, 4, 49.45116747800057, 387, 18323, 18323, 7.31512451171875, 19.388580322265625
24, -153.53583998885006, 2, 11.091511919001277, 84, 18407, 18407, 7.649601459503174, 20.034934997558594
25, -76.08389294985682, 4, 49.971984367000914, 391, 18798, 18798, 7.7713446617126465, 20.90764045715332
26, -65.55020999105182, 4, 49.47345591500016, 386, 19184, 19184, 7.551636219024658, 21.451892852783203
27, -160.92293766513467, 2, 9.263504009999451, 69, 19253, 19253, 7.8306989669799805, 21.027490615844727
28, -164.53158016037196, 2, 13.626664073000939, 104, 19357, 19357, 7.4093194007873535, 20.865882873535156
29, -155.74832245428115, 2, 6.444207369999276, 47, 19404, 19404, 7.999250888824463, 21.470590591430664
30, -161.9352304374588, 2, 11.11786598099934, 84, 19488, 19488, 7.3315348625183105, 22.25382423400879
31, -155.6659171959618, 2, 9.044920262000232, 67, 19555, 19555, 7.512977123260498, 22.05413246154785
32, -161.90832076966763, 2, 9.42313243299941, 70, 19625, 19625, 8.275280952453613, 22.647066116333008
33, -184.51214045460802, 2, 41.35456256500038, 323, 19948, 19948, 7.804665565490723, 21.63786506652832
34, -158.34231757643283, 2, 22.13346208799885, 171, 20119, 20119, 7.966879844665527, 22.380685806274414
35, -153.6174151981104, 2, 14.193255329999374, 108, 20227, 20227, 8.16087532043457, 22.597517013549805
36, -29.350389857776463, 4, 49.65309510399857, 388, 20615, 20615, 7.727377414703369, 22.637704849243164
37, -159.73051067639608, 2, 18.850771322999208, 143, 20758, 20758, 7.87936544418335, 22.548051834106445
38, -152.98909117653966, 2, 4.6804723990007915, 33, 20791, 20791, 7.466243743896484, 22.231231689453125
39, -178.71340245287865, 2, 22.15897916799986, 170, 20961, 20961, 7.791930198669434, 22.409839630126953
40, -64.24108370172326, 4, 49.39994017600111, 385, 21346, 21346, 7.891132831573486, 23.541006088256836
41, -176.15114453760907, 2, 22.953558455001257, 177, 21523, 21523, 7.811756610870361, 23.674348831176758
42, -61.5544804596575, 4, 50.130392912999014, 391, 21914, 21914, 8.022043228149414, 24.689002990722656
