episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -11.00139147869777, 3, 8.740460593000535, 663, 50554,                                             50554, 0.010967398062348366, -0.46346697211265564
2, -15.80361719825305, 4, 50.43428369100002, 3885, 54439,                                             54439, 0.010269894264638424, -0.28991401195526123
3, -0.040278222295455635, 5, 0.9213481850001699, 30, 54469,                                             54469, 0.01140478067100048, -0.2921990752220154
4, -15.709674461279064, 4, 50.45243390299947, 3856, 58325,                                             58325, 0.010067974217236042, -0.29916855692863464
5, -15.641662128386088, 4, 50.25554999900123, 3825, 62150,                                             62150, 0.009352639317512512, -0.30559489130973816
6, -0.04400432214606553, 5, 1.1197541620003904, 30, 62180,                                             62180, 0.00908631645143032, -0.30855706334114075
7, -15.564653358538635, 4, 50.26211478299956, 3788, 65968,                                             65968, 0.009315536357462406, -0.31033197045326233
8, -0.04778915410861373, 5, 0.921916245999455, 30, 65998,                                             65998, 0.009206954389810562, -0.31335821747779846
9, -15.565809391788207, 4, 50.44108895200043, 3799, 69797,                                             69797, 0.00868611317127943, -0.3220660388469696
10, -15.552157631958835, 4, 50.238755980999485, 3749, 73546,                                             73546, 0.008304043672978878, -0.3293858766555786
11, -15.480929695884697, 4, 50.31513972599896, 3702, 77248,                                             77248, 0.0080386558547616, -0.33335185050964355
12, -15.435322180972435, 4, 50.258657209999, 3677, 80925,                                             80925, 0.007944089360535145, -0.3358927369117737
13, -0.047757024061866105, 5, 0.9195845060003194, 30, 80955,                                             80955, 0.00769739830866456, -0.33727219700813293
14, -15.367397468769923, 4, 50.45410793799965, 3657, 84612,                                             84612, 0.007479170802980661, -0.34003502130508423
15, -0.04425217770040035, 5, 1.1203379170001426, 30, 84642,                                             84642, 0.007270059082657099, -0.3420011103153229
16, -15.35183412709739, 4, 50.25161337600002, 3632, 88274,                                             88274, 0.0074514239095151424, -0.3440963923931122
17, -0.07011824962683022, 5, 1.1187174360002246, 30, 88304,                                             88304, 0.007874260656535625, -0.3442739248275757
18, -15.305196678615175, 4, 50.2457962389999, 3591, 91895,                                             91895, 0.0072184111922979355, -0.3460940718650818
19, -15.218340703635477, 4, 50.243214653000905, 3543, 95438,                                             95438, 0.007077522575855255, -0.3477039635181427
20, -15.144763107527979, 4, 50.24314256100115, 3506, 98944,                                             98944, 0.006933122407644987, -0.34980133175849915
21, -0.04492209758609533, 5, 1.0403076820002752, 30, 98974,                                             98974, 0.004654675722122192, -0.3521749675273895
22, -15.146481454605237, 4, 50.2553691840003, 3481, 102455,                                             102455, 0.006501235533505678, -0.35067421197891235
23, -0.04353029513731599, 5, 1.1203639059986017, 30, 102485,                                             102485, 0.006118841003626585, -0.35226163268089294
