episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, 121.17774382815696, 2, 18.50184168600026, 166, 15033, 15033, 2.6416854858398438, -6.368002414703369
2, -37.01665415242314, 4, 49.70408508000037, 451, 15484, 15484, 2.6427485942840576, -6.566378116607666
3, -16.42815851420164, 5, 3.791447650000009, 30, 15514, 15514, 2.8712782859802246, -6.580663681030273
4, -21.069330278784037, 5, 3.769611031999375, 30, 15544, 15544, 2.5695700645446777, -6.567672252655029
5, -23.0888803973794, 5, 3.792050527000356, 30, 15574, 15574, 2.794316053390503, -6.322727680206299
6, -23.629840534180403, 5, 3.7757444069993653, 30, 15604, 15604, 2.713345527648926, -6.180638313293457
7, -21.197094671428204, 5, 3.7751161980004326, 30, 15634, 15634, 2.6414272785186768, -6.423480033874512
8, -14.900407586246729, 5, 3.7816184330004035, 30, 15664, 15664, 2.644242286682129, -6.565171241760254
9, -23.76259634271264, 5, 3.7870184659996085, 30, 15694, 15694, 3.0428335666656494, -6.340920925140381
10, -20.40396698564291, 5, 3.7644001660000868, 30, 15724, 15724, 2.815516710281372, -5.9616193771362305
11, -18.876987781375647, 5, 3.775512694000099, 30, 15754, 15754, 2.991905689239502, -6.042937755584717
12, -28.846280831843615, 4, 50.18742645099974, 455, 16209, 16209, 2.855013132095337, -6.140993595123291
13, 3.1090165488421917, 2, 39.50671705500008, 358, 16567, 16567, 2.722862958908081, -6.249899864196777
14, -16.5017066039145, 5, 3.7828351799998927, 30, 16597, 16597, 2.840834856033325, -5.635072231292725
15, -21.42646098136902, 5, 3.7770249529994544, 30, 16627, 16627, 2.9000327587127686, -6.329782962799072
16, -20.796325732022524, 5, 3.7850492709994796, 30, 16657, 16657, 2.6856377124786377, -6.018918991088867
17, 12.861161891371012, 4, 49.76949520299968, 451, 17108, 17108, 2.720252752304077, -5.631299018859863
18, -18.81735010072589, 5, 3.77443139999923, 30, 17138, 17138, 2.693467855453491, -5.510897636413574
19, -15.838905796408653, 5, 3.7821344929998304, 30, 17168, 17168, 2.7380623817443848, -5.816511631011963
20, 9.283671274781227, 4, 50.12195289099964, 454, 17622, 17622, 2.7164978981018066, -5.332596302032471
21, -21.230326116085052, 5, 3.799683267000546, 30, 17652, 17652, 2.6344926357269287, -5.732564449310303
22, -23.244798459112644, 5, 3.7740182739999, 30, 17682, 17682, 2.558340549468994, -4.981574535369873
23, 13.780239019542933, 4, 49.950168033999944, 453, 18135, 18135, 2.5763375759124756, -5.007307052612305
24, -21.522734723985195, 5, 3.78015286200025, 30, 18165, 18165, 2.340381145477295, -4.775424480438232
25, -21.53753711655736, 5, 3.7861868090003554, 30, 18195, 18195, 2.659491539001465, -4.687414169311523
26, -18.537665158510208, 5, 3.783448940999733, 30, 18225, 18225, 2.5218160152435303, -4.685221195220947
27, -0.19107138738036156, 4, 49.84721921000073, 452, 18677, 18677, 2.579566717147827, -4.474477767944336
28, -20.80271426588297, 5, 3.788624241999969, 30, 18707, 18707, 2.39656662940979, -4.353867530822754
29, -17.338830333203077, 5, 3.781096902000172, 30, 18737, 18737, 2.47641658782959, -4.5669846534729
30, -22.522544115781784, 5, 3.791826313000456, 30, 18767, 18767, 2.493497371673584, -4.62738561630249
31, -20.773833639919758, 5, 3.7868540979998215, 30, 18797, 18797, 2.7970173358917236, -4.560808181762695
32, -18.177843429148197, 5, 3.785127368000758, 30, 18827, 18827, 2.600180149078369, -4.183808326721191
33, -24.463500376790762, 5, 3.782946539000477, 30, 18857, 18857, 2.7283029556274414, -4.159776210784912
34, -17.987170070409775, 5, 3.7830730650002806, 30, 18887, 18887, 2.594994306564331, -4.18013858795166
35, -20.702944211661816, 5, 3.791199033000339, 30, 18917, 18917, 2.5194804668426514, -4.1321868896484375
36, -17.13379841670394, 5, 3.777496811000674, 30, 18947, 18947, 2.4177045822143555, -3.9901609420776367
