episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, 107.10962717235088, 2, 22.655636972999673, 175, 15116, 15116, 0.4422995448112488, -12.990065574645996
2, 248.45691484212875, 4, 50.21043301099962, 390, 15506, 15506, 0.44921278953552246, -13.123138427734375
3, 247.23099102079868, 4, 49.6068875560004, 385, 15891, 15891, 0.46371811628341675, -13.345979690551758
4, 246.0000177770853, 4, 49.57417860700025, 385, 16276, 16276, 0.43768465518951416, -13.502531051635742
5, 242.2088270932436, 4, 49.628264969000156, 383, 16659, 16659, 0.45765331387519836, -13.539790153503418
6, 243.67981618642807, 4, 49.58076025900027, 383, 17042, 17042, 0.44758307933807373, -13.81368350982666
7, 246.28963914513588, 4, 49.58617915400009, 384, 17426, 17426, 0.4549192190170288, -13.918998718261719
8, 246.88422349095345, 4, 49.606866869999976, 386, 17812, 17812, 0.449884295463562, -14.12196159362793
9, 246.9035410284996, 4, 49.508020584000406, 385, 18197, 18197, 0.44525134563446045, -14.443534851074219
10, 243.19292452931404, 4, 49.59172814500016, 386, 18583, 18583, 0.4308711886405945, -14.630006790161133
11, 245.20006105303764, 4, 49.618415179000294, 386, 18969, 18969, 0.44812342524528503, -14.85991382598877
12, 8.185906067490578, 2, 4.336119869999493, 30, 18999, 18999, 0.4207043945789337, -15.071337699890137
13, 5.353816822171211, 2, 4.313346099999762, 30, 19029, 19029, 0.44436994194984436, -14.897295951843262
14, 244.50613683462143, 4, 49.961008696000135, 388, 19417, 19417, 0.4421158730983734, -15.003146171569824
15, 249.3948877453804, 4, 49.618181251999886, 385, 19802, 19802, 0.45084792375564575, -15.191174507141113
16, 248.51621887087822, 4, 49.5322543530001, 384, 20186, 20186, 0.46061110496520996, -15.326308250427246
17, 246.24383102357388, 4, 49.54204218400082, 385, 20571, 20571, 0.45642608404159546, -15.548208236694336
18, 8.626686662435532, 2, 4.3176500729996405, 30, 20601, 20601, 0.46486303210258484, -15.718835830688477
19, 1.5101124104112387, 2, 4.350289237000652, 30, 20631, 20631, 0.4925696551799774, -15.835506439208984
20, 239.457461245358, 4, 50.022403783999835, 389, 21020, 21020, 0.45315250754356384, -15.825891494750977
21, 242.65852454304695, 4, 49.48075022499961, 385, 21405, 21405, 0.46637704968452454, -16.1048583984375
22, 7.542126968502998, 2, 4.35664984900086, 30, 21435, 21435, 0.46618449687957764, -16.196386337280273
23, 2.6403559520840645, 2, 4.352018880999822, 30, 21465, 21465, 0.4833329916000366, -16.12257194519043
24, 242.65014862269163, 4, 49.94270726400009, 388, 21853, 21853, 0.4536660313606262, -16.176361083984375
25, 245.93069318681955, 4, 49.64523421600006, 385, 22238, 22238, 0.45518791675567627, -16.37055778503418
26, 242.3406265079975, 4, 49.50038677499924, 384, 22622, 22622, 0.476163387298584, -16.552597045898438
27, 6.0998519361019135, 2, 4.3192499099995985, 30, 22652, 22652, 0.5343877077102661, -16.65445327758789
28, 245.34068690240383, 4, 49.88130051799999, 387, 23039, 23039, 0.44681301712989807, -16.822811126708984
29, 5.3402940928936005, 2, 4.327308509999966, 30, 23069, 23069, 0.48308712244033813, -16.977027893066406
30, 2.366849794983864, 2, 4.354764144999535, 30, 23099, 23099, 0.4741123616695404, -16.91706657409668
31, 244.87551125138998, 4, 49.859582653999496, 387, 23486, 23486, 0.4592996835708618, -17.058374404907227
32, 248.25793355703354, 4, 49.56708952400004, 385, 23871, 23871, 0.44511184096336365, -17.30069923400879
33, 8.062938943505287, 2, 4.322252418000062, 30, 23901, 23901, 0.42942702770233154, -17.320186614990234
34, 247.26702488213778, 4, 49.87458966899976, 387, 24288, 24288, 0.43541422486305237, -17.594213485717773
35, 8.301376149058342, 2, 4.352901403999567, 30, 24318, 24318, 0.47524842619895935, -17.655590057373047
36, 243.43884247541428, 4, 49.753847833999316, 386, 24704, 24704, 0.4413403570652008, -17.78738784790039
37, 246.25539004802704, 4, 49.55537506499968, 384, 25088, 25088, 0.4229651987552643, -18.01786994934082
38, 246.4795326590538, 4, 49.538939460999245, 384, 25472, 25472, 0.39967480301856995, -18.229183197021484
39, 244.3274196088314, 4, 49.57645937199959, 384, 25856, 25856, 0.40911126136779785, -18.44086265563965
40, 243.90213346481323, 4, 49.67105795600037, 385, 26241, 26241, 0.416324645280838, -18.63116455078125
41, 242.87437926232815, 4, 49.533848376000606, 384, 26625, 26625, 0.3882025480270386, -18.8642520904541
42, 244.52617348730564, 4, 49.539505103999545, 384, 27009, 27009, 0.38752642273902893, -19.0350284576416
43, 5.918814599514008, 2, 4.334169247000318, 30, 27039, 27039, 0.4351520836353302, -19.157875061035156
44, 2.1796557903289795, 2, 4.341152801000135, 30, 27069, 27069, 0.3187415301799774, -19.284128189086914
45, 0.7668961714953184, 2, 4.339303931999893, 30, 27099, 27099, 0.3841800391674042, -19.198884963989258
46, 0.5589985642582178, 2, 4.357733188000566, 30, 27129, 27129, 0.3501485586166382, -19.121782302856445
47, 3.694560833275318, 2, 4.351408567999897, 30, 27159, 27159, 0.36931338906288147, -19.261962890625
48, 4.660096526145935, 2, 4.321988968000369, 30, 27189, 27189, 0.3703807294368744, -19.1870174407959
49, 239.86862871050835, 4, 49.68542697199973, 385, 27574, 27574, 0.36726081371307373, -19.30840492248535
