episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -3.898105153813958, 2, 26.251245770999958, 237, 15155, 15155, 0.0013640309916809201, 1.1354656219482422
2, -5.605896902270615, 4, 50.12358726099956, 455, 15610, 15610, 0.0013410961255431175, 1.1215875148773193
3, -10.621215895749629, 4, 50.16586059899964, 455, 16065, 16065, 0.0010988920694217086, 1.1200453042984009
4, -5.2746240347623825, 4, 50.188509064000755, 456, 16521, 16521, 0.0009919385192915797, 1.1033414602279663
5, -5.342929374426603, 4, 50.14488449899909, 454, 16975, 16975, 0.0008826815756037831, 1.0916560888290405
6, -5.37562667671591, 4, 50.09333829000025, 455, 17430, 17430, 0.0008575721876695752, 1.0952165126800537
7, -5.2975603910163045, 4, 50.106645400999696, 455, 17885, 17885, 0.0008454878116026521, 1.0970284938812256
8, -5.383438005112112, 4, 50.13235079900005, 455, 18340, 18340, 0.0007936639012768865, 1.1044267416000366
9, -5.403638015501201, 4, 50.09557008199954, 456, 18796, 18796, 0.0007389459642581642, 1.1107374429702759
10, -5.386705638840795, 4, 50.13033589299994, 457, 19253, 19253, 0.0008264739881269634, 1.113415002822876
11, -5.317913898266852, 4, 50.11064158999943, 457, 19710, 19710, 0.0009509500814601779, 1.1123636960983276
12, -5.362796705216169, 4, 50.152824509999846, 457, 20167, 20167, 0.0009283142862841487, 1.1161506175994873
13, -5.291810360737145, 4, 50.16309634299978, 456, 20623, 20623, 0.0010174072813242674, 1.118082046508789
14, -5.337582695297897, 4, 50.16244478199951, 456, 21079, 21079, 0.0010965804103761911, 1.1177301406860352
