episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -74.0746774468571, 2, 22.712917288001336, 177, 15149, 15149, 0.3825482726097107, -5.968034744262695
2, -201.44946033135056, 4, 49.37575376799941, 384, 15533, 15533, 0.38237789273262024, -5.670537948608398
3, -202.54480991140008, 4, 49.58656435999728, 386, 15919, 15919, 0.3996490240097046, -5.376643657684326
4, -5.104330364614725, 2, 4.339939793004305, 30, 15949, 15949, 0.41937997937202454, -5.060545921325684
5, -203.1527036204934, 4, 49.733381873993494, 387, 16336, 16336, 0.4051743149757385, -4.804323196411133
6, -202.0728318989277, 4, 49.583119073999114, 385, 16721, 16721, 0.3868379592895508, -4.08350133895874
7, -203.06379368156195, 4, 49.686213768000016, 387, 17108, 17108, 0.37166550755500793, -3.448113203048706
8, -10.625419907271862, 2, 4.339172148000216, 30, 17138, 17138, 0.37770721316337585, -3.073593854904175
9, -203.1780497469008, 4, 49.69391975500184, 387, 17525, 17525, 0.3439856171607971, -2.7598860263824463
10, -202.5259659551084, 4, 49.607101560002775, 386, 17911, 17911, 0.3180159032344818, -2.196402072906494
11, -202.55837386101484, 4, 49.54204938800103, 386, 18297, 18297, 0.31543582677841187, -1.6183146238327026
12, -203.1384212858975, 4, 49.626761841995176, 387, 18684, 18684, 0.2902832329273224, -1.1716136932373047
13, -202.6390135884285, 4, 49.596955617002095, 386, 19070, 19070, 0.2700931429862976, -0.6409274935722351
14, -4.732520204037428, 2, 4.316631469999265, 30, 19100, 19100, 0.24576769769191742, -0.3519567549228668
15, -3.053748555481434, 2, 4.327302070007136, 30, 19130, 19130, 0.2469281256198883, -0.4204549491405487
16, -204.17098482698202, 4, 49.95758185500017, 389, 19519, 19519, 0.2485920935869217, -0.07022236287593842
17, -201.978102453053, 4, 49.592633487001876, 385, 19904, 19904, 0.22469186782836914, 0.32816624641418457
18, -202.3936780616641, 4, 49.686366916001134, 386, 20290, 20290, 0.21173900365829468, 0.6976519823074341
19, -201.99569572508335, 4, 49.570587255002465, 385, 20675, 20675, 0.2057049572467804, 1.0799833536148071
20, -201.9077618829906, 4, 49.494318174998625, 385, 21060, 21060, 0.1921992301940918, 1.4293618202209473
21, -202.3041209205985, 4, 49.57674887699977, 386, 21446, 21446, 0.19050590693950653, 1.5039669275283813
22, -53.22633299138397, 2, 16.156296704997658, 123, 21569, 21569, 0.2002492994070053, 1.6991959810256958
23, -203.07933615520597, 4, 49.97864451700298, 388, 21957, 21957, 0.21359124779701233, 1.910683512687683
24, -201.33139281719923, 4, 49.60637407000468, 385, 22342, 22342, 0.21970072388648987, 2.215066432952881
25, -81.75684982445091, 2, 24.84919031699974, 191, 22533, 22533, 0.21338805556297302, 2.3381807804107666
26, -190.31232018582523, 4, 49.40002957600518, 383, 22916, 22916, 0.21574290096759796, 2.564819574356079
27, -201.13524036109447, 4, 49.58454501599772, 386, 23302, 23302, 0.20883595943450928, 2.820826768875122
28, -182.1220753127709, 4, 49.53786826199939, 385, 23687, 23687, 0.19966347515583038, 3.0756547451019287
29, -194.98189009074122, 4, 49.569129425995925, 386, 24073, 24073, 0.1955575942993164, 3.3147153854370117
30, -53.40854348614812, 2, 14.633126477994665, 111, 24184, 24184, 0.19174975156784058, 3.445329189300537
31, -24.524935575202107, 2, 10.154540499999712, 76, 24260, 24260, 0.19498211145401, 3.513204574584961
32, -3.6651808666065335, 2, 5.446794884002884, 39, 24299, 24299, 0.20265761017799377, 3.5844953060150146
33, -26.076825315132737, 2, 10.674484434995975, 80, 24379, 24379, 0.19369010627269745, 3.6186606884002686
34, -21.93069861922413, 2, 7.511805476002337, 55, 24434, 24434, 0.1976688802242279, 3.621462345123291
35, -191.7619396103546, 4, 49.79925191000075, 387, 24821, 24821, 0.19717179238796234, 3.8033244609832764
36, -26.397189997136593, 2, 8.536708722000185, 63, 24884, 24884, 0.2046719789505005, 3.9034953117370605
37, -178.34694818034768, 2, 43.944240880002326, 340, 25224, 25224, 0.19884827733039856, 4.086762428283691
38, -30.497815946117043, 2, 10.866450621004333, 81, 25305, 25305, 0.19645152986049652, 4.242753028869629
39, -37.02666189707816, 2, 19.667153595000855, 150, 25455, 25455, 0.19342191517353058, 4.285552501678467
40, -22.71351785119623, 2, 8.187977832996694, 60, 25515, 25515, 0.19081375002861023, 4.370727062225342
41, -202.9418465886265, 4, 50.12329765900358, 389, 25904, 25904, 0.19426342844963074, 4.518619537353516
42, -26.07145733386278, 2, 9.066332584996417, 67, 25971, 25971, 0.19344648718833923, 4.650911331176758
43, -7.451635685749352, 2, 5.015732993997517, 35, 26006, 26006, 0.198427215218544, 4.693946361541748
44, -29.57066798955202, 2, 14.303844180998567, 108, 26114, 26114, 0.19698983430862427, 4.69295072555542
45, -10.125122901052237, 2, 4.351514511996356, 30, 26144, 26144, 0.17026109993457794, 4.749981880187988
46, -7.5253156162798405, 2, 5.364635289995931, 38, 26182, 26182, 0.1846023052930832, 4.732990264892578
47, -25.598102130927145, 2, 22.307035753998207, 171, 26353, 26353, 0.20273877680301666, 4.845605373382568
48, -177.20813920442015, 4, 49.42011323499901, 384, 26737, 26737, 0.20039284229278564, 5.013610363006592
49, -58.84374834224582, 2, 18.360631221003132, 140, 26877, 26877, 0.20517897605895996, 5.1673150062561035
50, -49.73086590319872, 2, 13.649715694999031, 103, 26980, 26980, 0.21047498285770416, 5.192049026489258
51, -11.232440182939172, 2, 4.59595316999912, 32, 27012, 27012, 0.20818784832954407, 5.285358905792236
52, -101.05900456383824, 2, 30.080423797997355, 232, 27244, 27244, 0.2029665857553482, 5.357351779937744
53, -19.279920790344477, 2, 6.501005472004181, 47, 27291, 27291, 0.20025677978992462, 5.440884590148926
54, -53.951051238924265, 2, 14.725857674995495, 111, 27402, 27402, 0.20071139931678772, 5.425060749053955
55, -18.164787504822016, 2, 6.385477249001269, 46, 27448, 27448, 0.20434607565402985, 5.483459949493408
56, -42.241858972236514, 2, 14.489377423997212, 110, 27558, 27558, 0.1920086145401001, 5.5914812088012695
57, -10.736963238567114, 2, 4.444608215999324, 31, 27589, 27589, 0.1981911063194275, 5.575078010559082
58, -19.0061744004488, 2, 11.607143886998529, 87, 27676, 27676, 0.20761072635650635, 5.630078315734863
59, -34.90047426521778, 2, 10.213033544998325, 76, 27752, 27752, 0.1933770626783371, 5.691877841949463
60, -9.452161184512079, 2, 4.451361605999409, 31, 27783, 27783, 0.19497205317020416, 5.752400875091553
61, -19.57598835416138, 2, 8.45743008700083, 62, 27845, 27845, 0.20519426465034485, 5.726224899291992
62, -57.751544665545225, 2, 23.988024958001915, 184, 28029, 28029, 0.1972421556711197, 5.864779472351074
63, -14.042893156409264, 4, 50.09281281900621, 389, 28418, 28418, 0.2182566523551941, 5.9633002281188965
64, -153.84706962294877, 2, 41.884867905006104, 324, 28742, 28742, 0.21321873366832733, 6.175726413726807
65, -53.402029406279325, 2, 14.516337253000529, 110, 28852, 28852, 0.21561960875988007, 6.227935791015625
66, -59.69540383853018, 2, 20.442049983001198, 156, 29008, 29008, 0.20624035596847534, 6.321969509124756
67, -51.105873335152864, 2, 14.065971055999398, 106, 29114, 29114, 0.2175516039133072, 6.418672561645508
68, -10.02091411780566, 2, 6.627244241004519, 48, 29162, 29162, 0.22602961957454681, 6.459043502807617
69, -6.467760271392763, 2, 5.099654473000555, 36, 29198, 29198, 0.23306162655353546, 6.5102009773254395
70, -83.18413136061281, 2, 24.40840949700214, 187, 29385, 29385, 0.22131404280662537, 6.497802257537842
71, -171.76273286622018, 2, 46.99554199499835, 364, 29749, 29749, 0.2205350697040558, 6.68101167678833
72, -19.285195745527744, 2, 6.527800707001006, 47, 29796, 29796, 0.2217269092798233, 6.757918834686279
73, -5.097042979672551, 2, 4.637596100001247, 32, 29828, 29828, 0.24045410752296448, 6.8395514488220215
74, -12.901502206921577, 2, 4.9582677880025585, 35, 29863, 29863, 0.2404615432024002, 6.80542516708374
75, -52.42538826819509, 2, 18.494676799004083, 141, 30004, 30004, 0.22889238595962524, 6.880843639373779
76, -4.542233180254698, 2, 4.350906115992984, 30, 30034, 30034, 0.23116932809352875, 7.037919998168945
77, -29.285863497294486, 2, 12.643928142999357, 95, 30129, 30129, 0.23179538547992706, 7.024713039398193
78, -11.207713078707457, 2, 4.595601383996836, 32, 30161, 30161, 0.23783566057682037, 6.98475980758667
79, -18.748017892241478, 2, 6.531951469005435, 47, 30208, 30208, 0.2343173325061798, 7.054173946380615
80, -157.30545136146247, 2, 41.9355552220004, 324, 30532, 30532, 0.22623853385448456, 7.113379955291748
81, -17.67233188636601, 2, 6.111920388000726, 44, 30576, 30576, 0.2164919227361679, 7.141397476196289
82, -11.155690722167492, 2, 4.592514570002095, 32, 30608, 30608, 0.2483888417482376, 7.194829940795898
83, -27.283099205233157, 2, 12.386012260001735, 92, 30700, 30700, 0.23231203854084015, 7.266903400421143
84, -11.229806941002607, 2, 4.620512692003103, 32, 30732, 30732, 0.2371675670146942, 7.325910568237305
85, -67.12961254268885, 2, 29.98779244600155, 229, 30961, 30961, 0.24511311948299408, 7.38104772567749
86, -25.78707455843687, 2, 8.107636703003664, 59, 31020, 31020, 0.2530045807361603, 7.486832141876221
