episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -1.8011441174894571, 2, 11.103816824965179, 55, 15051,                                             15051, 0.0, 0.15776126086711884
2, -1.6740199839696288, 2, 8.13106153003173, 44, 15095,                                             15095, 0.0, 0.18892145156860352
3, -1.852241538465023, 3, 10.88911869196454, 60, 15155,                                             15155, 0.0, 0.22901108860969543
4, -2.7447819020599127, 3, 21.19255521602463, 122, 15277,                                             15277, 0.0, 0.258020281791687
5, -1.530949592590332, 2, 5.919274255051278, 30, 15307,                                             15307, 0.0, 0.28709617257118225
6, -1.4200285030528903, 2, 5.910518035001587, 31, 15338,                                             15338, 0.0, 0.27011364698410034
7, -1.4867023481056094, 2, 6.447389584966004, 30, 15368,                                             15368, 0.0, 0.2432108074426651
8, -2.0793171478435397, 3, 12.042448411986697, 69, 15437,                                             15437, 0.0, 0.23425626754760742
9, -1.9455813895910978, 2, 9.275142980972305, 52, 15489,                                             15489, 0.0, 0.23341004550457
10, -1.847727601416409, 3, 9.550038283981849, 54, 15543,                                             15543, 0.0, 0.24353685975074768
11, -1.5727250147610903, 2, 5.097455031995196, 30, 15573,                                             15573, 0.0, 0.19107237458229065
12, -3.353339435532689, 2, 25.875966459978372, 169, 15742,                                             15742, 0.0, 0.21272070705890656
13, -2.313368769362569, 3, 14.724641203007195, 91, 15833,                                             15833, 0.0, 0.22174003720283508
14, -1.6476574391126633, 2, 6.941403712029569, 41, 15874,                                             15874, 0.0, 0.21642091870307922
15, -3.3528634253889322, 2, 26.535051530983765, 163, 16037,                                             16037, 0.0, 0.20874737203121185
16, -1.5017228052020073, 2, 5.506948376947548, 33, 16070,                                             16070, 0.0, 0.20881985127925873
17, -2.057273873127997, 3, 12.605924178031273, 71, 16141,                                             16141, 0.0, 0.23271062970161438
18, -1.7800134718418121, 2, 9.18647603399586, 54, 16195,                                             16195, 0.0, 0.3110581934452057
19, -1.6789985513314605, 2, 8.037954489991535, 42, 16237,                                             16237, 0.0, 0.3207699656486511
20, -1.467483595944941, 2, 5.764037084009033, 32, 16269,                                             16269, 0.0, 0.28121525049209595
21, -1.8607238121330738, 2, 6.660636787011754, 42, 16311,                                             16311, 0.0, 0.2984157204627991
22, -1.9645435493439436, 2, 11.319274752982892, 61, 16372,                                             16372, 0.0, 0.29927006363868713
23, -1.8972107395529747, 2, 10.877811415994074, 61, 16433,                                             16433, 0.0, 0.26943570375442505
24, -1.7196067469194531, 2, 7.566183076996822, 46, 16479,                                             16479, 0.0, 0.27070239186286926
25, -0.5209532082080841, 5, 5.332231019041501, 30, 16509,                                             16509, 0.0, 0.2948501706123352
26, -2.357411582954228, 2, 15.937260022037663, 90, 16599,                                             16599, 0.0, 0.2682953476905823
27, -1.5273840324953198, 3, 6.532833491975907, 36, 16635,                                             16635, 0.0, 0.24299894273281097
