episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -247.58042500540614, 2, 20.920630966999852, 188, 15112, 15112, 2.0032565593719482, 3.8917605876922607
2, -378.2335871681571, 2, 38.36738227299975, 346, 15458, 15458, 2.0750572681427, 4.691798210144043
3, -210.30997771397233, 2, 22.482802280000215, 201, 15659, 15659, 2.162822723388672, 4.99330997467041
4, -141.32112436927855, 2, 24.486049280999396, 219, 15878, 15878, 2.127450704574585, 5.131158351898193
5, -120.72795547149144, 2, 14.607196275000206, 129, 16007, 16007, 2.124518394470215, 4.956603050231934
6, -150.4318390339613, 2, 19.23371952799971, 171, 16178, 16178, 2.0617728233337402, 5.684662342071533
7, -110.38552216254175, 2, 14.544667506999758, 128, 16306, 16306, 2.189317464828491, 5.757608890533447
8, -304.8574892579927, 2, 32.07731129900003, 288, 16594, 16594, 2.0882320404052734, 5.348029613494873
9, -638.0149946827441, 2, 21.937613544999294, 196, 16790, 16790, 2.071427822113037, 5.436531066894531
10, -169.72087406553328, 2, 28.54895370000031, 256, 17046, 17046, 2.0250885486602783, 5.519886493682861
11, -114.46234254911542, 2, 12.131791052999688, 106, 17152, 17152, 2.193333625793457, 5.822342872619629
12, -128.22419427335262, 2, 15.87351414800014, 140, 17292, 17292, 2.0890986919403076, 5.403265476226807
13, -162.63317974819802, 2, 34.26551314900007, 308, 17600, 17600, 2.19631290435791, 6.006354808807373
14, -169.32783713191748, 2, 27.770063286999175, 249, 17849, 17849, 2.1138904094696045, 6.020261764526367
15, -106.40089671890019, 2, 13.541933654000786, 119, 17968, 17968, 2.0876030921936035, 6.23080587387085
16, -137.3666877746582, 2, 25.459413073999713, 228, 18196, 18196, 2.1098666191101074, 5.583900451660156
17, -358.80199054442346, 2, 10.126986969000427, 88, 18284, 18284, 2.1252264976501465, 5.640036106109619
18, -92.85430735349655, 2, 15.376702796000245, 136, 18420, 18420, 2.0934011936187744, 5.996700286865234
19, -573.6029478758574, 2, 12.76867071200013, 112, 18532, 18532, 2.0485658645629883, 5.721874713897705
20, -284.21181570738554, 2, 15.967012050999983, 141, 18673, 18673, 2.0656931400299072, 6.178318023681641
21, -174.89390976983123, 2, 36.767997305999415, 331, 19004, 19004, 2.0689823627471924, 5.715542793273926
22, -174.64823475293815, 2, 30.278084271999433, 272, 19276, 19276, 2.1142423152923584, 5.861189842224121
23, -202.35609720740467, 2, 46.73781267499999, 421, 19697, 19697, 2.0602986812591553, 5.807618141174316
24, -161.63882384449244, 2, 17.92757700400034, 159, 19856, 19856, 2.0571882724761963, 6.178625106811523
25, -299.8657750040293, 2, 26.57093772600001, 238, 20094, 20094, 2.0954442024230957, 5.886452674865723
26, -140.507554769516, 2, 25.447652713000025, 228, 20322, 20322, 2.105282783508301, 5.871307849884033
27, -482.90873746573925, 2, 20.56036598299943, 181, 20503, 20503, 2.145393133163452, 5.843516826629639
28, -484.0810169801116, 2, 15.941213232999871, 138, 20641, 20641, 2.124406099319458, 6.23146390914917
29, -162.80780318938196, 2, 22.279562014000476, 198, 20839, 20839, 2.1174111366271973, 6.178915023803711
30, -94.58083517849445, 2, 17.570402350998847, 155, 20994, 20994, 2.0960068702697754, 5.972630023956299
31, -158.71496157255024, 2, 33.443754103000174, 300, 21294, 21294, 2.1519904136657715, 6.083850383758545
32, -173.5195837416686, 2, 34.01942176600096, 304, 21598, 21598, 2.178689956665039, 6.636681079864502
33, -153.403395768255, 2, 14.68301840499953, 129, 21727, 21727, 2.370694637298584, 6.327467918395996
34, -143.32696165703237, 2, 29.06441002000065, 260, 21987, 21987, 2.150785446166992, 6.1592278480529785
35, -122.98952264152467, 2, 17.20009394399858, 152, 22139, 22139, 2.1424248218536377, 6.055810928344727
36, -81.62599796056747, 2, 12.369585377999101, 108, 22247, 22247, 2.0974323749542236, 5.440867900848389
37, -91.54127006232738, 2, 14.357140149999395, 126, 22373, 22373, 2.241225242614746, 6.148794651031494
38, -237.09224995225668, 2, 28.864603013000306, 258, 22631, 22631, 2.1886298656463623, 5.7491679191589355
39, -179.607106817537, 2, 37.34567476399934, 335, 22966, 22966, 2.2322909832000732, 5.329586029052734
40, -238.51903824089095, 4, 50.22305661399878, 452, 23418, 23418, 2.2214975357055664, 5.384459972381592
41, -200.97793382778764, 4, 50.1236613279998, 452, 23870, 23870, 2.243893623352051, 4.912764072418213
42, -152.69658764451742, 2, 28.46783025500008, 255, 24125, 24125, 2.1844615936279297, 4.8954572677612305
43, -192.99964213435305, 2, 46.612879521999275, 419, 24544, 24544, 2.237853765487671, 4.701541423797607
44, -349.267936699267, 4, 50.13905626700034, 451, 24995, 24995, 2.3211076259613037, 3.985511302947998
45, -213.30861441942398, 2, 46.12115427199933, 414, 25409, 25409, 2.2624294757843018, 3.7788634300231934
46, -250.9436347752344, 2, 49.62490157100001, 447, 25856, 25856, 2.2744452953338623, 3.4510767459869385
47, -271.0618849173188, 4, 50.10452979299953, 452, 26308, 26308, 2.299856185913086, 2.83213210105896
48, -131.77775756974006, 4, 50.18695580399981, 454, 26762, 26762, 2.2023890018463135, 1.9723933935165405
49, -137.74205923825502, 2, 22.026716091000708, 196, 26958, 26958, 2.1606152057647705, 1.5368539094924927
50, -82.63179836142808, 4, 50.12355298200055, 452, 27410, 27410, 2.3335161209106445, 1.1467233896255493
51, -130.88847714674193, 4, 50.20918819100007, 453, 27863, 27863, 2.273258686065674, 0.5063335299491882
52, -169.38552510505542, 2, 24.377869721000025, 218, 28081, 28081, 2.293147325515747, 0.005978981964290142
53, -107.11652823083568, 4, 50.1945343790012, 453, 28534, 28534, 2.2389354705810547, -0.6026330590248108
54, -134.03673983199405, 4, 50.18297395599984, 453, 28987, 28987, 2.2694714069366455, -0.9010493755340576
55, -106.15142131005996, 4, 50.140812473999176, 452, 29439, 29439, 2.2310664653778076, -1.879896640777588
56, -170.9339921027422, 4, 50.15356679599972, 452, 29891, 29891, 2.1766421794891357, -2.67512583732605
57, -129.27660927339457, 4, 50.1700335860005, 452, 30343, 30343, 2.2365591526031494, -2.9343910217285156
58, -114.56951951980591, 2, 25.038679678000335, 224, 30567, 30567, 2.1895859241485596, -3.133634328842163
59, -111.23937466426287, 4, 50.1723238350005, 452, 31019, 31019, 2.231494903564453, -3.3765499591827393
60, -686.6282578906976, 2, 43.551529206999476, 392, 31411, 31411, 2.2632718086242676, -3.995427370071411
61, -175.10266131907701, 2, 25.215410388000237, 225, 31636, 31636, 2.1292402744293213, -4.516643524169922
62, -503.7750525024894, 4, 50.12831181399997, 452, 32088, 32088, 2.078792095184326, -4.361083030700684
63, -113.49451180821052, 4, 50.171284693000416, 453, 32541, 32541, 2.019822120666504, -4.553885459899902
64, -118.28655761689879, 4, 50.179285538999466, 453, 32994, 32994, 2.08343768119812, -4.982106685638428
65, -224.12352785049006, 2, 21.007730662999165, 187, 33181, 33181, 2.0609140396118164, -5.2511749267578125
66, -463.1266589945262, 4, 50.17630076400019, 452, 33633, 33633, 2.087230682373047, -5.902132034301758
67, -121.60171048110351, 2, 26.769763803000387, 239, 33872, 33872, 2.0279152393341064, -6.536654949188232
68, -232.4499056302011, 2, 28.244085890999486, 253, 34125, 34125, 2.0836994647979736, -6.443877220153809
69, -75.38218431352288, 4, 50.12424896199991, 451, 34576, 34576, 1.9872678518295288, -6.892308235168457
70, -214.94218913465738, 2, 44.50214161199983, 401, 34977, 34977, 1.9486902952194214, -7.528681755065918
71, -114.32960030529648, 4, 50.123700874999486, 452, 35429, 35429, 2.0324769020080566, -7.434725284576416
72, -117.52688041236252, 4, 50.20011576499928, 452, 35881, 35881, 1.9837623834609985, -8.489806175231934
73, -118.51798920053989, 2, 29.79883611600053, 266, 36147, 36147, 1.9919534921646118, -8.035420417785645
74, -459.9786663791165, 2, 31.566014169000482, 282, 36429, 36429, 2.027067184448242, -8.898731231689453
75, -424.0706572989002, 4, 50.22961857299924, 452, 36881, 36881, 2.0180773735046387, -9.110084533691406
76, -101.60949992192036, 4, 50.220233820999056, 452, 37333, 37333, 2.0390496253967285, -9.977815628051758
77, -102.21677216407261, 4, 50.134461974999795, 450, 37783, 37783, 2.037019729614258, -10.523537635803223
78, -90.90522226161556, 4, 50.20452800899875, 450, 38233, 38233, 2.056567430496216, -10.889433860778809
79, -1148.7466860427521, 4, 50.20268982699963, 452, 38685, 38685, 1.9605756998062134, -11.402449607849121
80, -127.54367007131805, 4, 50.17721462999907, 450, 39135, 39135, 2.0629844665527344, -11.376837730407715
81, -83.1475700030569, 4, 50.25272369999948, 451, 39586, 39586, 2.064288377761841, -12.497791290283203
82, -549.9581637016963, 2, 27.34213923900097, 243, 39829, 39829, 2.029411554336548, -12.54684066772461
83, -107.59599897172302, 2, 27.789393293998728, 247, 40076, 40076, 2.17505145072937, -13.583569526672363
84, -278.1723599031102, 2, 42.41047013499883, 380, 40456, 40456, 2.2024505138397217, -14.384235382080078
85, -332.46307521359995, 4, 50.13786520800022, 450, 40906, 40906, 2.258074998855591, -15.41236686706543
86, -123.49806743557565, 4, 50.20373747800113, 451, 41357, 41357, 2.260525941848755, -15.950090408325195
87, -98.73619009973481, 4, 50.201215237000724, 451, 41808, 41808, 2.2333996295928955, -16.863021850585938
88, -68.901565967637, 4, 50.183706001000246, 452, 42260, 42260, 2.254624843597412, -17.496177673339844
89, -108.17712122015655, 4, 50.11410022900054, 450, 42710, 42710, 2.3876633644104004, -18.249296188354492
90, -95.59782466533215, 4, 50.192845456000214, 451, 43161, 43161, 2.362057685852051, -19.686168670654297
