episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -4.520000020042062, 5, 15.123996460999479, 79, 15036, 15036, 0.023193351924419403, 0.5829237699508667
2, -4.789999904111028, 4, 56.69481588599956, 457, 15493, 15493, 0.02633267641067505, 0.6115576028823853
3, -4.8199999034404755, 4, 55.96169469099914, 453, 15946, 15946, 0.025229906663298607, 0.6314972639083862
4, -4.829999903216958, 4, 56.25890139799958, 456, 16402, 16402, 0.02307685650885105, 0.6171055436134338
5, -5.0099998991936445, 4, 56.35946789300215, 457, 16859, 16859, 0.01940099336206913, 0.5845141410827637
6, -4.739999905228615, 4, 56.26238804199966, 456, 17315, 17315, 0.01705157198011875, 0.5633784532546997
7, -4.8199999034404755, 4, 56.68323295600203, 457, 17772, 17772, 0.01433803141117096, 0.5515434145927429
8, -4.709999905899167, 4, 56.030092246001004, 453, 18225, 18225, 0.01184030994772911, 0.518600344657898
9, -4.79999990388751, 4, 56.24480348400175, 456, 18681, 18681, 0.009583539329469204, 0.49056318402290344
10, -4.75999990478158, 4, 56.24887775300158, 456, 19137, 19137, 0.008321259170770645, 0.4564848244190216
11, -4.969999900087714, 4, 56.31523020000168, 456, 19593, 19593, 0.007244996726512909, 0.42325684428215027
12, -4.859999902546406, 4, 56.23312647499915, 456, 20049, 20049, 0.00684769544750452, 0.39560383558273315
13, -4.659999907016754, 4, 56.60808516299949, 456, 20505, 20505, 0.006191780790686607, 0.36842772364616394
14, -4.669999906793237, 4, 55.91605049200007, 453, 20958, 20958, 0.005721662659198046, 0.3610648512840271
15, -4.929999900981784, 4, 56.34662071300045, 457, 21415, 21415, 0.0055547007359564304, 0.3517727255821228
16, -4.9399999007582664, 4, 56.24828394100041, 456, 21871, 21871, 0.0049809738993644714, 0.3520151376724243
17, -4.789999904111028, 4, 56.61774597399926, 456, 22327, 22327, 0.004850208293646574, 0.3534453511238098
18, -4.989999899640679, 4, 55.93821512000068, 453, 22780, 22780, 0.004519919864833355, 0.3607301115989685
19, -4.779999904334545, 4, 56.24843889100157, 456, 23236, 23236, 0.004468826577067375, 0.3695979118347168
20, -4.909999901428819, 4, 56.30841995300216, 457, 23693, 23693, 0.004264548420906067, 0.38140377402305603
21, -4.999999899417162, 4, 56.30598628699954, 457, 24150, 24150, 0.003900384297594428, 0.3949264883995056
22, -4.899999901652336, 4, 56.318818976997136, 457, 24607, 24607, 0.004270264878869057, 0.4049310088157654
23, -4.6999999061226845, 4, 56.636815830999694, 456, 25063, 25063, 0.004056674428284168, 0.4181930124759674
24, -4.849999902769923, 4, 56.30042629899981, 453, 25516, 25516, 0.004323926754295826, 0.4313250482082367
25, -4.929999900981784, 4, 56.274787509002635, 453, 25969, 25969, 0.004023927263915539, 0.43989595770835876
26, -4.9399999007582664, 4, 56.26489354599835, 453, 26422, 26422, 0.004345990717411041, 0.4529888927936554
27, -4.8899999018758535, 4, 56.281075115999556, 453, 26875, 26875, 0.004002684727311134, 0.466979444026947
28, -4.849999902769923, 4, 56.24182200499854, 453, 27328, 27328, 0.00429649418219924, 0.48013895750045776
29, -4.8899999018758535, 4, 55.93586276800124, 453, 27781, 27781, 0.004451510030776262, 0.4920892119407654
30, -4.869999902322888, 4, 56.37964780299808, 457, 28238, 28238, 0.004343850538134575, 0.5020706653594971
31, -4.919999901205301, 4, 56.23602168499929, 456, 28694, 28694, 0.004476973786950111, 0.5078244209289551
32, -4.669999906793237, 4, 56.28029903499919, 456, 29150, 29150, 0.004447511862963438, 0.5242805480957031
33, -4.8899999018758535, 4, 56.25474476100135, 456, 29606, 29606, 0.004405084066092968, 0.5257260799407959
34, -4.739999905228615, 4, 56.55903917699834, 456, 30062, 30062, 0.004813233390450478, 0.5334959626197815
