episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, 0.5282355956733227, 5, 15.114774715999374, 79, 15076, 15076, 1.5034315586090088, -14.334121704101562
2, 13.78459469601512, 4, 56.14394714900118, 456, 15532, 15532, 1.6408971548080444, -14.463275909423828
3, 31.708060290664434, 4, 56.17170797399922, 456, 15988, 15988, 1.7969181537628174, -14.962796211242676
4, 13.783028405159712, 4, 56.09134729000107, 456, 16444, 16444, 1.8827282190322876, -15.360735893249512
5, 38.364283207803965, 4, 56.200124070999664, 456, 16900, 16900, 1.9788576364517212, -15.714059829711914
6, 12.683380849659443, 2, 54.35584486300104, 440, 17340, 17340, 1.9834790229797363, -15.936908721923828
7, 13.783028405159712, 4, 56.09378378099973, 456, 17796, 17796, 1.9882211685180664, -16.564172744750977
8, 13.087595295161009, 4, 56.15156645299976, 456, 18252, 18252, 2.005272388458252, -17.139434814453125
9, 13.783028405159712, 4, 56.5147922619999, 456, 18708, 18708, 2.044851303100586, -17.560884475708008
10, 25.99050436541438, 2, 38.05817760300124, 290, 18998, 18998, 2.046116590499878, -17.932294845581055
11, 12.373364940285683, 4, 56.17874780099919, 456, 19454, 19454, 2.118842363357544, -18.10449981689453
12, 33.11622641608119, 4, 56.15313831200001, 456, 19910, 19910, 2.157759189605713, -18.57383155822754
13, 12.627663373947144, 5, 15.163154571999257, 79, 19989, 19989, 2.178060293197632, -19.033109664916992
14, 14.497258730232716, 4, 56.15200044899939, 456, 20445, 20445, 2.1229724884033203, -19.00074005126953
15, 13.783028405159712, 4, 56.155337522999616, 456, 20901, 20901, 2.049816846847534, -18.95313262939453
16, 21.039532717317343, 2, 33.531443927999135, 248, 21149, 21149, 1.944422960281372, -18.889429092407227
