episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -9.50238688258105, 2, 7.4357691280001745, 58, 15004, 15004, 1.2652525901794434, 7.293038845062256
2, -23.586142295622267, 4, 40.17994228199859, 330, 15334, 15334, 1.309828519821167, 7.445633411407471
3, -29.852589699905366, 2, 21.59198344700053, 175, 15509, 15509, 1.3778268098831177, 7.648551940917969
4, -15.494106353260577, 2, 9.89592968100078, 78, 15587, 15587, 1.3631627559661865, 7.817181587219238
5, -29.001037232097588, 4, 40.08201320900116, 329, 15916, 15916, 1.390808343887329, 7.946720123291016
6, -44.100003748200834, 2, 31.344315943000765, 255, 16171, 16171, 1.391024112701416, 8.035333633422852
7, -42.8695001557935, 2, 38.61274314199909, 314, 16485, 16485, 1.4435055255889893, 8.261453628540039
8, -22.260254571971018, 4, 40.08904041599999, 329, 16814, 16814, 1.4428654909133911, 8.451966285705566
9, -18.4845749149099, 2, 10.640562962998956, 84, 16898, 16898, 1.4468804597854614, 8.512943267822266
10, -28.157448611804284, 2, 32.53734862300007, 266, 17164, 17164, 1.3831743001937866, 8.47317123413086
11, -10.829546193766873, 4, 40.186074315999576, 329, 17493, 17493, 1.371212363243103, 8.629521369934082
12, -11.57488076807931, 2, 19.22938972100019, 154, 17647, 17647, 1.2591453790664673, 8.602787017822266
13, -13.095707488188054, 2, 19.53249125899856, 157, 17804, 17804, 1.2722902297973633, 8.723761558532715
14, -3.200630902138073, 4, 40.117375853998965, 328, 18132, 18132, 1.2280455827713013, 8.655817985534668
15, -9.29834197810851, 2, 12.942227481000373, 103, 18235, 18235, 1.1887331008911133, 8.626704216003418
16, -15.391369132325053, 2, 34.250684476999595, 279, 18514, 18514, 1.1482148170471191, 8.655838966369629
17, -15.543165346607566, 4, 40.150683514000775, 329, 18843, 18843, 1.0746010541915894, 8.680999755859375
18, -15.18939911480993, 4, 40.1327504689998, 329, 19172, 19172, 0.9999212622642517, 8.697649002075195
19, -11.346174395876005, 4, 40.17882106400066, 330, 19502, 19502, 0.9531270265579224, 8.627725601196289
20, -10.844758265418932, 4, 40.09958576200006, 328, 19830, 19830, 0.8897204399108887, 8.701685905456543
21, -10.66663564927876, 2, 25.38154285699966, 205, 20035, 20035, 0.8546590805053711, 8.709007263183594
22, -9.070968776009977, 2, 23.217327185000613, 188, 20223, 20223, 0.8130636215209961, 8.650115013122559
23, -30.006901726606884, 4, 40.11408086800111, 329, 20552, 20552, 0.7801781892776489, 8.793251991271973
24, -19.932321241125464, 4, 40.127913588999945, 328, 20880, 20880, 0.7686985731124878, 8.790826797485352
25, -12.803854414902162, 2, 34.52864618499916, 282, 21162, 21162, 0.7201984524726868, 8.86719799041748
26, -13.272634217049927, 4, 40.139110891999735, 329, 21491, 21491, 0.6823877692222595, 8.88613510131836
27, -6.655527310445905, 2, 4.794176558001709, 35, 21526, 21526, 0.6401574015617371, 9.06477165222168
28, -8.23097016349493, 4, 40.140186893000646, 328, 21854, 21854, 0.6480703353881836, 8.967967987060547
29, -15.699272502184613, 4, 40.11186061300032, 327, 22181, 22181, 0.6244855523109436, 8.952303886413574
30, -10.286514223429549, 2, 27.967262938000204, 227, 22408, 22408, 0.5805087089538574, 9.071426391601562
31, -3.609503928455524, 4, 40.177400496999326, 329, 22737, 22737, 0.5610038042068481, 9.104360580444336
32, -7.512295737396926, 2, 7.7794388359998266, 60, 22797, 22797, 0.5676009058952332, 9.138547897338867
33, -16.714196085759795, 2, 31.05811730500136, 252, 23049, 23049, 0.5352982878684998, 9.101451873779297
34, -10.854466687422246, 2, 21.126918129000842, 170, 23219, 23219, 0.5255173444747925, 9.170751571655273
35, -9.471235176548362, 2, 6.186328854999374, 47, 23266, 23266, 0.506909966468811, 9.050918579101562
36, -14.516849316874868, 2, 31.80235668200112, 258, 23524, 23524, 0.5152588486671448, 9.128063201904297
37, -13.636461298097856, 4, 40.10316253600104, 327, 23851, 23851, 0.5079519152641296, 9.268913269042969
38, -7.265849124640226, 2, 6.362419258000955, 48, 23899, 23899, 0.5020180940628052, 9.287911415100098
39, -12.379665708867833, 2, 36.881003644000884, 301, 24200, 24200, 0.4816875755786896, 9.309708595275879
40, -12.637174609410522, 4, 40.182414222999796, 326, 24526, 24526, 0.4856232702732086, 9.352206230163574
41, -2.206833342264872, 4, 40.12805321799897, 327, 24853, 24853, 0.47656384110450745, 9.493324279785156
42, -7.637014024090604, 2, 14.11532676599927, 112, 24965, 24965, 0.48186320066452026, 9.453909873962402
43, -10.444794785638805, 4, 40.192309702000784, 326, 25291, 25291, 0.45598509907722473, 9.521285057067871
44, -2.123356657648401, 4, 40.1873608019996, 329, 25620, 25620, 0.4442134499549866, 9.566819190979004
45, -4.846967324381694, 4, 40.116423524999846, 325, 25945, 25945, 0.43801021575927734, 9.538313865661621
46, -6.5522763130720705, 2, 17.53339871299977, 140, 26085, 26085, 0.43457475304603577, 9.5994234085083
47, -8.122515340801328, 2, 6.811323868001637, 52, 26137, 26137, 0.4483097195625305, 9.568418502807617
48, -3.77846235409379, 4, 40.10618643000089, 327, 26464, 26464, 0.43927767872810364, 9.622588157653809
49, -12.970871611858456, 4, 40.14061859100002, 326, 26790, 26790, 0.43269723653793335, 9.693044662475586
50, -9.687120835995302, 4, 40.11783880400071, 324, 27114, 27114, 0.41171011328697205, 9.718119621276855
51, -13.647505804663524, 2, 13.165710146000492, 105, 27219, 27219, 0.42239895462989807, 9.77253532409668
52, -3.4345254541694885, 4, 40.1418123429994, 329, 27548, 27548, 0.4178083837032318, 9.683975219726562
53, -3.459100104722893, 4, 40.166049565999856, 329, 27877, 27877, 0.40535813570022583, 9.823051452636719
54, -4.11252449330641, 4, 40.17280828899857, 329, 28206, 28206, 0.3884660303592682, 9.76856803894043
55, -2.5221755371894687, 4, 40.111033712999415, 328, 28534, 28534, 0.39516857266426086, 9.843765258789062
56, -13.781980117986677, 4, 40.189995503998944, 329, 28863, 28863, 0.37511661648750305, 9.854168891906738
57, -9.583667889703065, 2, 4.1437877059997845, 30, 28893, 28893, 0.37886732816696167, 9.808466911315918
58, -1.436449971050024, 4, 40.09121838000101, 328, 29221, 29221, 0.3880063593387604, 9.91315746307373
59, -5.270966016454622, 4, 40.18163687500055, 329, 29550, 29550, 0.37106651067733765, 9.923632621765137
