episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -2.4327077757334337, 2, 28.37625145772472, 211, 15090, 15090, 0.022026728838682175, 0.30255794525146484
2, -13.05712646432221, 4, 44.09029603609815, 334, 15424, 15424, 0.021203985437750816, 0.31907132267951965
3, -13.61282910918817, 4, 44.168391176033765, 333, 15757, 15757, 0.020028093829751015, 0.33543258905410767
4, -9.362253647035686, 4, 44.107522485777736, 330, 16087, 16087, 0.020275209099054337, 0.35161665081977844
5, -9.72524473152589, 4, 44.089462890289724, 330, 16417, 16417, 0.018336692824959755, 0.3978758454322815
6, -10.232979253167287, 4, 44.159300746861845, 328, 16745, 16745, 0.017251823097467422, 0.4329030215740204
7, -0.7603417696955148, 2, 12.702969683799893, 92, 16837, 16837, 0.01673649623990059, 0.4627053737640381
8, -9.30639310827246, 4, 44.215921070892364, 332, 17169, 17169, 0.01591869816184044, 0.47767141461372375
9, -0.38314623362384737, 2, 6.8642335049808025, 48, 17217, 17217, 0.015436798334121704, 0.4981527328491211
10, -0.8661455610417761, 2, 17.67709456710145, 130, 17347, 17347, 0.015344580635428429, 0.5022262334823608
11, -1.0606958006392233, 2, 25.45258825365454, 189, 17536, 17536, 0.01652326062321663, 0.5163259506225586
12, -0.28791557741351426, 2, 8.166691442020237, 58, 17594, 17594, 0.0173630528151989, 0.5120416283607483
13, -9.829542566556484, 4, 44.1396523360163, 331, 17925, 17925, 0.015795670449733734, 0.5412086248397827
14, -0.6848147437995067, 2, 10.98385579418391, 79, 18004, 18004, 0.015033137984573841, 0.5573522448539734
15, -3.6429181061685085, 2, 4.477175374981016, 30, 18034, 18034, 0.016929030418395996, 0.5620309710502625
16, -4.948300525313243, 4, 44.17400817805901, 331, 18365, 18365, 0.016352396458387375, 0.5749938488006592
17, -1.7196217770979274, 2, 13.746162177994847, 100, 18465, 18465, 0.015353437513113022, 0.5790596008300781
18, -1.7213011183048366, 2, 14.527134528849274, 106, 18571, 18571, 0.015374266542494297, 0.5898354053497314
19, -5.158480069367215, 4, 44.22515862202272, 332, 18903, 18903, 0.0156176732853055, 0.6050665974617004
20, -7.089553059078753, 4, 44.173609477933496, 331, 19234, 19234, 0.014288850128650665, 0.6307365894317627
21, 0.12972316471859813, 2, 7.9198526702821255, 56, 19290, 19290, 0.01346619427204132, 0.6354473829269409
22, 0.181966797914356, 2, 6.072973465081304, 42, 19332, 19332, 0.01210564561188221, 0.6405560374259949
23, -5.895493341202382, 4, 44.14904985809699, 331, 19663, 19663, 0.014228523708879948, 0.650708794593811
24, -9.510333151789382, 4, 44.207950113806874, 334, 19997, 19997, 0.013622117228806019, 0.6678215861320496
25, -1.8763331258815015, 2, 29.021259089931846, 219, 20216, 20216, 0.012851503677666187, 0.6874955892562866
26, -5.3702836679294705, 4, 44.14949763799086, 335, 20551, 20551, 0.012968987226486206, 0.7097630500793457
